Player_Name,Nation,Pos,Team,League,M_played,Starting_11,Minutes_Played,Goals,Assists,Goals_Assists,Goals_non_Penalty,Penalty_Goals,Yellow_Cards,Red_Cards
Max Aarons,ENG,DF,Bournemouth,eng_premier_league,3,1,86,0,0,0,0,0,0,0
Max Aarons,ENG,MF,Valencia,es_la_liga,1,0,31,0,0,0,0,0,0,0
Rodrigo Abajas,ESP,DF,Valencia,es_la_liga,1,1,65,0,0,0,0,0,1,0
James Abankwah,IRL,"DF,MF",Udinese,it_serie_a,6,0,88,0,0,0,0,0,1,0
Keyliane Abdallah,FRA,FW,Marseille,fr_ligue_1,1,0,3,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr_ligue_1,12,11,976,0,0,0,0,0,2,0
Himad Abdelli,ALG,"MF,FW",Angers,fr_ligue_1,24,24,2132,6,1,7,3,3,2,0
Mohamed Abdelmoneim,EGY,DF,Nice,fr_ligue_1,9,7,609,0,0,0,0,0,2,0
Ali Abdi,TUN,"DF,MF",Nice,fr_ligue_1,17,11,941,2,2,4,2,0,1,0
Saud Abdulhamid,KSA,DF,Roma,it_serie_a,4,2,205,0,1,1,0,0,0,0
Abel,ESP,DF,Osasuna,es_la_liga,25,14,1478,2,0,2,2,0,2,0
Nabil Aberdin,FRA,MF,Getafe,es_la_liga,7,4,263,0,0,0,0,0,1,0
Oliver Abildgaard,DEN,MF,Como,it_serie_a,1,0,7,0,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,fr_ligue_1,25,24,1990,7,1,8,6,1,2,0
Abner,BRA,DF,Lyon,fr_ligue_1,14,9,820,1,1,2,1,0,1,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr_ligue_1,23,22,1827,7,2,9,6,1,4,0
Abdel Abqar,MAR,DF,Alavés,es_la_liga,25,25,2118,0,1,1,0,0,12,0
Tammy Abraham,ENG,FW,Roma,it_serie_a,1,0,1,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,it_serie_a,22,9,955,2,2,4,1,1,1,0
Federico Accornero,ITA,MF,Genoa,it_serie_a,1,0,5,0,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,it_serie_a,14,14,1120,0,1,1,0,0,0,0
Joshua Acheampong,ENG,DF,Chelsea,eng_premier_league,4,2,170,0,0,0,0,0,1,0
Akor Adams,NGA,FW,Sevilla,es_la_liga,1,0,10,0,0,0,0,0,0,0
Akor Adams,NGA,FW,Montpellier,fr_ligue_1,15,13,1075,3,1,4,3,0,2,0
Che Adams,SCO,FW,Torino,it_serie_a,26,21,1823,8,3,11,8,0,2,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Tyler Adams,USA,MF,Bournemouth,eng_premier_league,18,12,1167,0,3,3,0,0,4,0
Junior Adamu,AUT,FW,Freiburg,de_bundesliga,18,12,1043,2,1,3,2,0,3,1
Tosin Adarabioyo,ENG,DF,Chelsea,eng_premier_league,15,11,1086,1,1,2,1,0,2,0
Martin Adeline,FRA,MF,Reims,fr_ligue_1,1,0,26,0,0,0,0,0,0,0
Karim Adeyemi,GER,"FW,MF",Dortmund,de_bundesliga,16,11,932,3,3,6,3,0,3,0
Simon Adingra,CIV,"FW,MF",Brighton,eng_premier_league,19,6,617,2,1,3,2,0,0,0
Amine Adli,MAR,"MF,FW",Leverkusen,de_bundesliga,11,4,403,1,0,1,1,0,2,0
Yacine Adli,FRA,MF,Fiorentina,it_serie_a,20,14,1120,3,4,7,3,0,3,1
Adrián,ESP,GK,Betis,es_la_liga,8,8,720,0,0,0,0,0,2,0
Adryelson,BRA,DF,Lyon,fr_ligue_1,1,0,1,0,0,0,0,0,1,0
Vasilije Adžić,MNE,"MF,FW",Juventus,it_serie_a,3,0,26,0,0,0,0,0,0,0
Michel Aebischer,SUI,MF,Bologna,it_serie_a,9,5,427,0,0,0,0,0,0,0
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de_bundesliga,24,14,1376,2,1,3,2,0,2,0
Emmanuel Agbadou,CIV,DF,Wolves,eng_premier_league,6,6,510,0,0,0,0,0,2,0
Emmanuel Agbadou,CIV,DF,Reims,fr_ligue_1,14,14,1260,0,0,0,0,0,3,0
Asher Agbinone,ENG,MF,Crystal Palace,eng_premier_league,2,0,6,0,0,0,0,0,0,0
Jeremy Agbonifo,SWE,"FW,MF",Lens,fr_ligue_1,4,0,147,1,0,1,1,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,es_la_liga,14,14,1206,0,0,0,0,0,1,1
Lucien Agoume,FRA,MF,Sevilla,es_la_liga,25,14,1246,0,0,0,0,0,3,1
Felix Agu,GER,DF,Werder Bremen,de_bundesliga,13,12,990,2,0,2,2,0,1,0
